LOAN SEQUENCE NUMBER,MONTHLY REPORTING PERIOD,CURRENT ACTUAL UPB,CURRENT LOAN DELINQUENCY STATUS,LOAN AGE,CURRENT INTEREST RATE,ESTIMATED LOAN TO VALUE (ELTV),DEFAULT,CREDIT SCORE,FIRST TIME HOMEBUYER FLAG,OCCUPANCY STATUS,ORIGINAL INTEREST RATE,PROPERTY TYPE,LOAN PURPOSE,SELLER NAME,OrigYear,OrigQuarter,OrigDate,index_sa,UNRATE,inflation,% Change in UPB
F00Q10000066,2000-02-01T00:00:00.000-05:00,132000.0,0,0,8.0,Undefined,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,136.86,4.1,3.2,0.0
F00Q10000066,2000-03-01T00:00:00.000-05:00,132000.0,0,1,8.0,0.9923,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,137.92,4.0,3.8,0.0
F00Q10000066,2000-04-01T00:00:00.000-05:00,131000.0,0,2,8.0,0.9781,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,138.86,3.8,3.1,-0.0076
F00Q10000066,2000-05-01T00:00:00.000-04:00,131000.0,0,3,8.0,0.9741,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,139.44,4.0,3.2,-0.0076
F00Q10000066,2000-06-01T00:00:00.000-04:00,131000.0,0,4,8.0,0.9674,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,140.4,4.0,3.7,-0.0076
F00Q10000066,2000-07-01T00:00:00.000-04:00,131000.0,0,5,8.0,0.9624,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,141.13,4.0,3.7,-0.0076
F00Q10000066,2000-08-01T00:00:00.000-04:00,131000.0,0,6,8.0,0.9587,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,141.68,4.1,3.4,-0.0076
F00Q10000066,2000-09-01T00:00:00.000-04:00,130969.42,0,7,8.0,0.9527,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,142.53,3.9,3.5,-0.0078
F00Q10000066,2000-10-01T00:00:00.000-04:00,130876.92,0,8,8.0,0.9467,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,143.33,3.9,3.4,-0.0085
F00Q10000066,2000-11-01T00:00:00.000-05:00,130783.8,0,9,8.0,0.9404,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,144.2,3.9,3.4,-0.0092
F00Q10000066,2000-12-01T00:00:00.000-05:00,130690.06,0,10,8.0,0.934,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,145.07,3.9,3.4,-0.0099
F00Q10000066,2001-01-01T00:00:00.000-05:00,130595.7,0,11,8.0,0.9276,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,145.98,4.2,3.7,-0.0106
F00Q10000066,2001-02-01T00:00:00.000-05:00,130500.71,0,12,8.0,0.9206,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,146.98,4.2,3.5,-0.0114
F00Q10000066,2001-03-01T00:00:00.000-05:00,130405.08,0,13,8.0,0.915,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,147.77,4.3,2.9,-0.0121
F00Q10000066,2001-04-01T00:00:00.000-05:00,130308.82,0,14,8.0,0.909,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,148.64,4.4,3.3,-0.0128
F00Q10000066,2001-05-01T00:00:00.000-04:00,130211.92,0,15,8.0,0.9043,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,149.3,4.3,3.6,-0.0135
F00Q10000066,2001-06-01T00:00:00.000-04:00,130114.37,0,16,8.0,0.8993,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,150.01,4.5,3.2,-0.0143
F00Q10000066,2001-07-01T00:00:00.000-04:00,130016.17,0,17,8.0,0.8936,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,150.85,4.6,2.7,-0.015
F00Q10000066,2001-08-01T00:00:00.000-04:00,129917.31,0,18,8.0,0.8887,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,151.57,4.9,2.7,-0.0158
F00Q10000066,2001-09-01T00:00:00.000-04:00,129817.8,0,19,8.0,0.8835,0,760,N,P,8.0,SF,P,CHASE MANHATTAN MORTGAGE CORPORATION,2000,Q1,2000Q1,152.35,5.0,2.6,-0.0165
